,Vh,Rin ,Tau,Cm,AP_peak,Aptime,Threshold_LP ,Thres_Time,AP_duration,rise,Rheobase,ADP,ADP_area,fAHP,fAHP_time 
,-61.0425,169161,35.8494,211.924734424601,30.6091,140.66,-46.3712,140.06,1.10134,198.34,75,-55.6,215948,-58.8074,42.6
,-61.3889,178438,65692,368.150281890629,39.7034,135.42,-60.8695,134.66,1.23405,237274,100,-52887,684839,-54.8706,41.31
,-61.9399,335516,58054,173.029006068265,33.783,0000,143.96,-54.9873,143.22,1.3363,112152,50,-55.1147,557698,-55542,43.58
,-60.5188,141989,32.8133,231.097479382206,33.2947,139.42,-49.6047,138.8,1.15392,171661,251,-48.0625,295072,-48.1873,43.56
,-61.2216,175458,58.9801,336.149391877258,32.9285,142.02,-58.8996,141.36,1.42294,178528,175,-49.4385,1501.78,-49.53,44.08
,-61.2266,246485,44.1457,179.100959490436,26.7944,148.38,-58.0148,138.48,1.17128,196838,75,-49.8352,517904,-51.3306,41.26
,-62.0055,318048,57.1505,179.691430224369,27.3743,144.7,-49377,143.94,1.2676,161743,75,-49408,564.79,-49.8657,40.52
,-62.0386,151406,32153,212.362786151143,28.1982,142.22,-52.4917,141.84,0.635312,312042,50,-50.4761,442.26,-51178,40.82
,-60.0406,359847,54266,150.802980155455,46.3867,142.38,-54.9799,141.88,0.991598,354767,75,-51.0254,442.42,-52887,40.2
,-64.6664,248783,56196,225.883601371476,33.5693,132.26,-52663,131.68,1.00128,241089,200,,,-43.8732,
,-62.2862,350573,29342,83.6972613407193,37262,142.58,-50.4205,141.96,1.15167,230408,126,-53.6194,524.46,-56.2744,39.86
,-60.7478,321626,59645,185.448315745618,43.0298,137.68,-53.7885,137.14,0.975425,313568,50,-51.0864,750.58,-52.0325,39.58
,-61.6096,132518,43765,330.25702168762,38.9404,139.34,-55.6336,138.7,1.07159,254822,100,-49.1638,498.44,-52.3376,39.9
,-60.6824,186678,44.6166,239.002989104233,47.6379,141.72,-52.1419,141.18,0.901459,340271,75,-46.9055,665.6,-51.8799,39.8
,-59.8962,191594,59194,308.9553952629,49.4385,142.3,-49.1302,141.86,0.91189,373077,25,-46.9055,665.6,-49.0112,38.98
,-61.1027,342927,46872,136.682151011731,27.2827,147.14,-57.3805,146.46,1.1623,205994,125,-53.8025,229.59,-54.5349,40.42
,-59.7119,171682,53221,309.99755361657,19.1956,133.48,-54.3345,132.7,1.27969,141144,50,-50.6287,968.46,-53.1311,40.2
,-63.2688,191468,40877,213.492594062715,31.9214,141.08,-54.2149,140.44,1.09606,221252,75,-41.8701,916.55,-46.6614,40.2
,-61.8488,313141,63.05,201.346997039672,21.3928,142.8,-54.1383,142.08,1.27798,165558,75,-52.5818,796.34,-51.9409,40.44
,-62.9498,189895,61251,322.55193659654,30.7617,140.84,-47.8429,140.16,1.06647,196075,275,-51.3,938.22,-52.3682,
,-62.4149,482546,71564,148.30503205912,24.6582,142.92,-51.1083,142.18,1.28403,170898,51,,,,
,-62.9317,349472,52139,149.193640692244,41748,143.98,-49.2745,143.26,1.3095,222778,75,,,,
,-61.8802,148178,000,44.563,0000,300.739650960332,32196,120.1,-63.1023,119.24,1.38468,193024,100,,,,
,-57.4734,278485,000,61105,219.419358313733,26947,127.18,-47.3807,126.52,1.14147,167847,100,,,,
,-60.6683,188731,44054,233.422172298139,24.9939,121.76,-41.8401,121.2,0.921908,172424,376,,,,
