DATE,Vh,Rin,Tau,Cm,AP_peak,Aptime,Threshold_LP,Thres_Time,AP_duration,rise,Rheobase,ADP,ADP_area,fAHP,fAHP_time 
d141122a,-61.0425,169.161,35.8494,211.924734424601,30.6091,140.66,-46.3712,140.06,1.10134,198.34,75,-55.6,215.948,-58.688074,42.6
d141122b,-61.3889,178.438,65.692,368.150281890629,39.7034,135.42,-60.8695,134.66,1.23405,237.274,100,-52.887,684.839,-54.8706,41.31
d151122a,-61.9399,335.516,58.054,173.029006068265,33.7830,143.96,-54.9873,143.22,1.3363,112.152,50,-55.1147,557.698,-55.542,43.58
d151122b,-60.5188,141.989,32.8133,231.097479382206,33.2947,139.42,-49.6047,138.8,1.15392,171.661,251,-48.0625,295.072,-48.1873,43.56
d161122a,-61.2216,175.458,58.9801,336.149391877258,32.9285,142.02,-58.8996,141.36,1.42294,178.528,175,-49.4385,1501.78,-49.53,44.08
d161122b,-61.2266,246.485,44.1457,179.100959490436,26.7944,148.38,-58.0148,138.48,1.17128,196.838,75,-49.8352,517.904,-51.3306,41.26
d230121,-62.0055,318.048,57.1505,179.691430224369,27.3743,144.7,-49.377,143.94,1.2676,161.743,75,-49.408,564.79,-49.8657,40.52
d260719,-62.0386,151.406,32.153,212.362786,28.1982,142.22,-52.4917,141.84,0.635312,312.042,50,-50.4761,442.26,-51.178,40.82
120220,-60.0406,359.847,54.266,150.802980,46.3867,142.38,-54.9799,141.88,0.991598,354.767,75,-51.0254,442.42,-52.887,40.2
d241018,-64.6664,248.783,56.196,225.883601,33.5693,132.26,-52.663,131.68,1.00128,241.089,200,,,-43.8732,
d170420a,-62.2862,350.573,29.342,83.697261,37.262,142.58,-50.4205,141.96,1.15167,230.408,126,-53.6194,524.46,-56.2744,39.86
d170420b,-60.7478,321.626,59.645,185.448316,43.0298,137.68,-53.7885,137.14,0.975425,313.568,50,-51.0864,750.58,-52.0325,39.58
d150720,-61.6096,132.518,43.765,330.257022,38.9404,139.34,-55.6336,138.7,1.07159,254.822,100,-49.1638,498.44,-52.3376,39.9
d160720,-60.6824,186.678,44.6166,239.002989,47.6379,141.72,-52.1419,141.18,0.901459,340.271,75,-46.9055,665.6,-51.8799,39.8
d170720,-59.8962,191.594,59.194,308.955395,49.4385,142.3,-49.1302,141.86,0.91189,373.077,25,-46.9055,665.6,-49.0112,38.98
d230121a,-61.1027,342.927,46.872,136.682151011731,27.2827,147.14,-57.3805,146.46,1.1623,205.994,125,-53.8025,229.59,-54.5349,40.42
d230121b,-59.7119,171.682,53.221,309.99755361657,19.1956,133.48,-54.3345,132.7,1.27969,141.144,50,-50.6287,968.46,-53.1311,40.2
d250121,-63.2688,191.468,40.877,213.492594062715,31.9214,141.08,-54.2149,140.44,1.09606,221.252,75,-41.8701,916.55,-46.6614,40.2
d040221,-61.8488,313.141,63.05,201.346997039672,21.3928,142.8,-54.1383,142.08,1.27798,165.558,75,-52.5818,796.34,-51.9409,40.44
d060221,-62.9498,189.895,61.251,322.55193659654,30.7617,140.84,-47.8429,140.16,1.06647,196.075,275,-51.3,938.22,-52.3682,
d010222,-62.4149,482.546,71.564,148.30503205912,24.6582,142.92,-51.1083,142.18,1.28403,170.898,51,,,,
d090322,-62.9317,349.472,52.139,149.193640692244,41.748,143.98,-49.2745,143.26,1.3095,222.778,75,,,,
d010922,-61.8802,148.178,44.5630,300.739650960332,32.196,120.1,-63.1023,119.24,1.38468,193.024,100,,,,
d020922a,-57.4734,278.485,61.105,219.419358313733,26.947,127.18,-47.3807,126.52,1.14147,167.847,100,,,,
d020922b,-60.6683,188.731,44.054,233.422172298139,24.9939,121.76,-41.8401,121.2,0.921908,172.424,376,,,,
